ef_search,recall,qps
2000,0.9972,32.2
1900,0.9972,34.9
1800,0.9972,34.4
1700,0.9972,33.9
1600,0.9972,35.1
1500,0.9972,34.7
1400,0.9972,31.5
1300,0.9972,27.4
1200,0.9972,25.5
1100,0.9972,27.6
1000,0.9972,27.1
900,0.9972,34.8
800,0.9973,39.1
700,0.9972,45.5
600,0.9971,55.3
500,0.9968,58.0
400,0.9959,69.7
300,0.9934,82.0
250,0.9911,84.0
200,0.9881,99.9
180,0.9878,114.2
160,0.9855,128.4
140,0.9821,139.9
120,0.9765,140.3
100,0.9700,162.2
90,0.9653,195.0
80,0.9601,201.7
70,0.9519,213.3
60,0.9434,225.6
55,0.9382,231.6
50,0.9314,228.7
45,0.9235,239.2
40,0.9139,250.5
35,0.8984,277.6
30,0.8840,306.2
25,0.8634,339.1
20,0.8316,365.7
15,0.7806,458.9
10,0.6241,524.7
