probes,recall,qps
1,0.5538,284.6
2,0.7075,212.6
3,0.7799,158.5
5,0.8540,112.6
10,0.9219,73.5
20,0.9611,42.5
30,0.9747,16.8
50,0.9872,18.4
100,0.9956,9.9
200,0.9978,5.0
500,0.9996,0.5
1000,0.9996,0.5
