L,Cmps,QPS,Recall
1700,2848,523.013,16.71
1400,2615,595.238,17.63
1100,2333,680.735,18.87
1000,2233,698.324,19.5
900,2130,743.494,20.21
800,2022,802.568,20.87
700,1900,916.59,21.77
600,1756,1010.1,22.78
500,1602,1097.69,24.3
400,1433,1315.79,26.04
300,1234,1508.3,28.63
250,1118,1663.89,30.3
200,996,1923.08,31.97
180,943,2074.69,32.94
160,888,2257.34,33.78
140,830,2688.17,34.91
120,769,2710.03,36.37
100,699,3322.26,37.99
90,660,3367,39.06
80,619,3436.43,40.33
70,580,3663,41.36
60,535,4000,42.66
55,512,4219.41,43.44
50,490,4424.78,44.17
45,466,4716.98,44.92
40,439,5050.5,45.77
35,412,5988.02,46.78
30,382,6622.52,47.92
25,351,6944.44,49.29
20,318,7575.76,50.78
15,282,8474.58,52.45
10,240,10204.1,54.97
