L,Cmps,QPS,Recall
1700,87254,18.6511,30.84
1400,77019,20.7529,28.76
1100,65833,24.664,26.21
1000,61787,27.7146,25.35
900,57625,28.4325,24.41
800,53249,34.75,23.38
700,48534,37.6804,22.08
600,43637,40.9987,20.96
500,38446,45.0511,19.81
400,32813,50.2058,18.41
300,26684,57.0744,16.39
250,23355,62.1581,15.29
200,19828,68.5448,14.09
180,18330,71.449,13.29
160,16814,74.7608,12.69
140,15219,78.9017,12.01
120,13532,83.5213,11.37
100,11820,88.5426,10.52
90,10934,91.6338,10.13
80,10020,94.9668,9.79
70,9078,98.4543,9.34
60,8093,102.627,8.84
55,7581,104.91,8.43
50,7094,84.3526,8.23
45,6587,80.2955,7.88
40,6029,82.7678,7.44
35,5479,85.2442,7.05
30,4909,87.4661,6.62
25,4315,89.9847,6.34
20,3678,92.7386,5.71
15,3042,95.7029,5.18
10,2317,98.668,4.47
