L,Cmps,QPS,Recall
1700,42367,39.5023,93.2
1400,36741,47.6872,91.7
1100,30581,56.5611,89.3
1000,28547,58.1903,89.1
900,26352,63.7146,88.45
800,23787,70.6964,86.4
700,21521,81.9336,85.7
600,19037,94.0734,83.95
500,16393,110.072,80.8
400,13559,133.333,75.8
300,10752,169.205,71.5
250,9169,199.402,68.2
200,7590,241.546,64.1
180,6856,267.738,61.35
160,6217,295.858,59.95
140,5527,332.226,58
120,4871,379.507,55.25
100,4174,441.501,52.55
90,3808,486.618,49.75
80,3473,534.759,48.3
70,3091,602.41,46.2
60,2745,677.966,44
55,2540,732.601,42.25
50,2347,793.651,40.85
45,2172,862.069,39.25
40,1968,947.867,36.75
35,1767,1058.2,34.95
30,1550,1219.51,31.7
25,1339,1408.45,29.6
20,1132,1680.67,25.9
15,912,2083.33,23
10,705,2739.73,20.15
