ef_search,recall,qps
2000,1.0000,3.1
1900,1.0000,3.1
1800,1.0000,3.1
1700,1.0000,3.2
1600,1.0000,3.1
1500,1.0000,3.1
1400,1.0000,3.2
1300,1.0000,3.1
1200,1.0000,3.1
1100,1.0000,3.1
1000,1.0000,3.1
900,1.0000,3.1
800,1.0000,3.2
700,1.0000,3.1
600,1.0000,3.1
500,1.0000,3.1
400,1.0000,3.1
300,1.0000,3.1
250,1.0000,3.1
200,1.0000,3.1
180,1.0000,3.1
160,1.0000,3.1
140,1.0000,3.1
120,1.0000,3.1
100,1.0000,3.1
90,1.0000,3.1
80,1.0000,3.1
70,1.0000,3.1
60,1.0000,3.1
55,1.0000,3.1
50,1.0000,3.1
45,1.0000,3.1
40,1.0000,3.1
35,1.0000,3.1
30,1.0000,3.1
25,1.0000,3.1
20,1.0000,3.1
15,1.0000,3.1
10,1.0000,3.0
