ef_search,recall,qps
2000,1.0000,4.8
1900,1.0000,4.8
1800,1.0000,4.8
1700,1.0000,4.9
1600,1.0000,4.8
1500,1.0000,4.8
1400,1.0000,4.8
1300,1.0000,5.0
1200,1.0000,5.1
1100,1.0000,5.2
1000,1.0000,5.2
900,1.0000,5.2
800,0.9987,5.4
700,0.9970,5.9
600,0.9910,5.9
500,0.9858,6.0
400,0.9782,6.3
300,0.9653,6.3
250,0.9579,6.3
200,0.9384,6.5
