probes,recall,qps
1,0.8225,7.3
2,0.8697,7.2
3,0.8920,7.1
5,0.9243,6.7
10,0.9618,6.5
20,0.9851,5.8
30,0.9952,4.7
50,0.9911,5.8
100,0.9971,5.4
200,0.9990,4.5
500,1.0000,4.0
1000,1.0000,4.2
