efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.59236,157.007,134.682,3738.25
1400,0.59144,213.174,174.011,3279.44
1100,0.58976,271.259,210.869,2778.27
1000,0.589,297.09,226.156,2599.64
900,0.58783,314.664,236.197,2413.84
800,0.58618,373.539,267.892,2219.76
700,0.58427,424.584,293.169,2016.5
600,0.58162,492.578,324.055,1803.04
500,0.57804,583.912,361.227,1577.35
400,0.572,716.869,408.045,1336.54
300,0.5629,928.055,468.762,1077.21
250,0.55611,1094.96,507.863,937.868
200,0.54579,1345.73,555.912,790.664
180,0.53987,1467.61,575.661,729.356
160,0.53307,1629.91,599.058,666.264
140,0.52377,1868.08,628.51,601.268
120,0.51254,2135.58,656.162,533.942
100,0.49778,2510.2,687.696,463.926
90,0.48883,2758.72,705.098,427.639
80,0.47786,3074.23,724.091,390.455
70,0.46394,3443.11,742.836,352.386
60,0.44705,3922.22,762.943,313.092
55,0.43741,4211.98,773.291,293.013
50,0.42548,4576.08,784.755,272.502
45,0.41173,4989.71,796.071,251.503
40,0.39506,5485.5,807.719,230.208
35,0.37591,6123.19,820.298,208.426
30,0.35204,6887.92,832.683,185.93
25,0.32154,7992.57,846.832,162.829
20,0.28216,9533.82,861.589,138.818
15,0.23021,11830.6,876.976,113.891
10,0.15561,15773.9,893.534,87.515
