ef,recall,qps,dist_comp
1700,0.98761,26.4904,11185.2
1400,0.98561,35.4948,9809.5
1100,0.98275,50.2561,8318.88
1000,0.9813,56.9322,7790.02
900,0.97974,66.5706,7242.38
800,0.9778,78.7636,6672.73
700,0.97512,95.9055,6078.05
600,0.97163,119.638,5453
500,0.96704,155.235,4791.89
400,0.96102,212.027,4086.25
300,0.95111,316.657,3321.9
250,0.94398,405.184,2910.35
200,0.93344,544.902,2474.15
180,0.92832,624.564,2290.58
160,0.9214,726.478,2101.47
140,0.91355,855.837,1905.37
120,0.90246,1037.83,1701.62
100,0.88818,1291.46,1489
90,0.87936,1453.62,1379.05
80,0.86889,1661.49,1265.9
70,0.85606,1919.21,1149.49
60,0.83998,2261.25,1029.14
55,0.82997,2497.92,967.484
50,0.81881,2743.76,904.582
45,0.80489,3058.99,840.218
40,0.78881,3417.4,774.644
35,0.76915,3922.55,708.112
30,0.74406,4479.18,639.57
25,0.7128,5301.46,569.044
20,0.67132,6325.4,496.83
15,0.61413,7990.97,421.512
10,0.52594,10574.5,341.781
