L,Cmps,QPS,Recall
1700,5532,658.155,99.991
1400,5000,773.515,99.991
1100,4398,926.956,99.991
1000,4178,993.443,99.991
900,3945,1079.1,99.991
800,3699,1181.2,99.991
700,3437,1311.82,99.991
600,3153,1476.45,99.991
500,2844,1705.32,99.991
400,2502,1999.2,99.991
300,2116,2489.42,99.989
250,1899,2857.96,99.988
200,1661,3434.07,99.982
180,1559,3725.78,99.977
160,1451,4070,99.969
140,1338,4494.38,99.959
120,1217,5037.78,99.946
100,1087,5780.35,99.923
90,1018,6253.91,99.901
80,946,6835.27,99.872
70,871,7507.51,99.835
60,791,8431.7,99.768
55,749,8992.81,99.711
50,705,9596.93,99.639
45,660,10416.7,99.533
40,613,11274,99.393
35,565,12391.6,99.166
30,514,13812.2,98.847
25,460,15772.9,98.347
20,403,18382.4,97.487
15,342,22172.9,95.927
10,277,28248.6,92.534
