efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.81185,130.678,107.542,8113.28
1400,0.81093,156.301,124.313,7073.05
1100,0.80923,198.887,149.828,5950.94
1000,0.80863,222.479,162.837,5554.96
900,0.80741,250.75,177.483,5144.65
800,0.80614,280.502,191.889,4720.06
700,0.8044,240.744,172.41,4277.88
600,0.8021,270.897,187.345,3815.84
500,0.79876,322.789,210.778,3329.49
400,0.79393,399.396,240.958,2814.38
300,0.78567,521.512,280.598,2262.13
250,0.77894,615.027,305.599,1966.94
200,0.76935,752.823,336.174,1656.33
180,0.76376,837.277,352.03,1526.95
160,0.75654,923.769,366.456,1393.9
140,0.74819,1033.08,382.512,1257.2
120,0.73789,1183.52,401.404,1115.19
100,0.72344,1394.87,423.15,967.651
90,0.71413,1529.66,434.772,891.869
80,0.70256,1695.62,447.213,814.046
70,0.6874,1900.42,460.296,734.096
60,0.66843,2165.25,474.348,651.474
55,0.65647,2335.48,482.045,609.238
50,0.64298,2535.79,490.035,566.396
45,0.62692,2769.37,498.155,522.538
40,0.60804,3054.31,506.657,477.719
35,0.58525,3422.1,515.854,432.02
30,0.55552,3885.41,525.296,385.243
25,0.51673,4524.95,535.529,336.971
20,0.46634,5460.11,546.609,286.953
15,0.39413,6872.09,558.088,234.941
10,0.28317,9390.31,570.513,180.02
