efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.9959,131.549,95.3796,15668.2
1400,0.99475,163.626,111.183,13566.9
1100,0.99305,218.827,134.183,11331.1
1000,0.99214,248.327,144.725,10549.4
900,0.99123,278.254,154.403,9745.7
800,0.98998,315.326,165.179,8917.13
700,0.98833,357.162,175.977,8058.64
600,0.98591,361.396,176.999,7168.22
500,0.98259,491.369,203.341,6236.03
400,0.97801,577.321,216.692,5253.99
300,0.97023,722.855,234.406,4207.86
250,0.96474,961.104,254.896,3653.5
200,0.95576,1152.02,266.614,3072.16
180,0.95066,1211.67,269.686,2830.34
160,0.9447,1218.03,270,2582.01
140,0.93711,1369.94,276.804,2327.31
120,0.92782,1670.34,287.242,2063.7
100,0.91409,2155.98,298.817,1791.04
90,0.90543,2385.87,302.861,1650.08
80,0.89459,2629.56,306.467,1506.03
70,0.88033,2934.32,310.222,1358.43
60,0.86229,3344.72,314.299,1205.82
55,0.85129,3604.01,316.438,1127.69
50,0.8388,3917.66,318.678,1048.5
45,0.8231,4264.09,320.798,967.555
40,0.80433,4693.58,323.022,884.657
35,0.78085,4935.64,324.116,799.986
30,0.75075,5954.51,327.799,713.243
25,0.70993,7007.65,330.534,623.796
20,0.65353,7643.98,331.837,531.345
15,0.56824,9640.77,334.848,434.731
10,0.42891,14606.6,338.849,332.472
