ef,recall,qps,dist_comp
1700,0.67975,67.2834,6357.76
1400,0.66876,88.0844,5596.8
1100,0.65453,119.236,4779.9
1000,0.6486,138.662,4491.71
900,0.64134,159.721,4193.98
800,0.63339,184.613,3885.66
700,0.62387,218.308,3563.64
600,0.61244,268.826,3227.1
500,0.59897,329.68,2870.96
400,0.5817,428.882,2489.28
300,0.55773,607.848,2073.38
250,0.54273,744.449,1847.72
200,0.52415,963.864,1605.25
180,0.51475,1143.01,1502.56
160,0.50508,1258.66,1395.58
140,0.49318,1428.05,1284.13
120,0.48061,1787.27,1166.91
100,0.46482,2064.55,1042.49
90,0.45524,2397.45,977.14
80,0.44561,2721.11,909.312
70,0.43382,2960.02,838.217
60,0.42023,3625.77,763.717
55,0.41262,3697.55,724.953
50,0.40462,4073.76,685.219
45,0.39555,4462.72,643.95
40,0.38461,5339.99,601.147
35,0.37281,5534.85,557.005
30,0.35832,6887.24,510.517
25,0.3401,7894.22,462.747
20,0.31465,8774.04,411.33
15,0.2778,11941.5,356.619
10,0.22359,15769,295.973
