L,Cmps,QPS,Recall
1700,50801,110.04,94.616
1400,44639,132.048,93.749
1100,37839,161.608,92.602
1000,35394,174.871,92.079
900,32855,188.74,91.533
800,30218,206.71,90.978
700,27412,231.342,90.014
600,24461,263.72,88.998
500,21336,310.289,87.696
400,17982,378.558,85.853
300,14364,485.131,83.15
250,12433,568.99,81.306
200,10390,687.995,78.821
180,9540,743.882,77.561
160,8666,831.947,76.066
140,7772,931.706,74.358
120,6848,1064.85,72.358
100,5897,1245.49,69.725
90,5411,1361.66,68.188
80,4916,1504.44,66.496
70,4413,1677.57,64.542
60,3895,1909.13,62.07
55,3631,2049.6,60.671
50,3365,2211.41,59.127
45,3097,2396.93,57.51
40,2823,2645.5,55.685
35,2547,2958.58,53.494
30,2264,3303.6,51.12
25,1975,3769.32,48.265
20,1679,4422.82,44.867
15,1374,5350.45,40.657
10,1056,6825.94,35.044
