L,Cmps,QPS,Recall
1700,15095,352.137,98.049
1400,13405,417.415,97.712
1100,11508,507.717,97.117
1000,10832,542.829,96.915
900,10119,591.226,96.625
800,9365,651.084,96.253
700,8561,735.456,95.774
600,7721,834.098,95.284
500,6812,965.158,94.53
400,5827,1146.92,93.476
300,4744,1449.91,91.904
250,4151,1676.45,90.662
200,3511,2010.45,88.842
180,3244,2187.71,87.974
160,2969,2409.06,87.014
140,2683,2680.25,85.737
120,2383,3045.07,84.137
100,2072,3521.13,82.065
90,1909,3828.48,80.759
80,1743,4184.1,79.273
70,1572,4614.67,77.54
60,1395,5184.03,75.378
55,1303,5555.56,74.082
50,1211,5955.93,72.666
45,1118,6402.05,71.245
40,1023,6906.08,69.419
35,926,7616.15,67.349
30,825,8438.82,64.941
25,721,9469.7,61.94
20,615,10695.2,58.314
15,504,12919.9,53.47
10,388,15847.9,46.756
