L,Cmps,QPS,Recall
1700,38374,43.1034,95.2
1400,33768,49.9127,94.55
1100,28613,59.4177,93.35
1000,26763,63.8366,92.75
900,24839,68.918,91.9
800,22842,75.3864,91
700,20742,87.7193,90.15
600,18411,95.0119,88.5
500,16075,108.873,86.9
400,13538,130.208,84.3
300,10844,162.47,81.35
250,9274,192.493,77.4
200,7731,240.385,73.7
180,7086,243.013,72.2
160,6411,274.348,69.75
140,5756,306.279,67.6
120,5077,347.222,66.15
100,4341,405.68,63.05
90,3983,438.596,61.05
80,3622,485.437,58.95
70,3260,537.634,57.35
60,2880,607.903,54.75
55,2676,653.595,53
50,2482,701.754,51.55
45,2295,757.576,49.65
40,2095,829.875,47.65
35,1875,921.659,44.75
30,1661,1041.67,41.9
25,1449,1183.43,39.25
20,1227,1398.6,36
15,1008,1666.67,31.8
10,782,2127.66,26.95
