efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.4125,94.8602,17.3749,4119.65
1400,0.4025,116.144,17.9783,3511.5
1100,0.4,153.148,18.6769,2859.57
1000,0.395,179.58,19.0182,2621.12
900,0.39,194.954,19.1784,2352.97
800,0.3675,223.102,19.4194,2075.22
700,0.335,270.716,19.7214,1771.78
600,0.3275,336.233,20.0053,1495.25
500,0.32,431.435,20.2715,1210.92
400,0.305,582.267,20.5213,895.575
300,0.2625,788.722,20.7123,771.9
250,0.24,929.002,20.7948,722.45
200,0.2375,1122.91,20.8755,675.275
180,0.2375,1213.01,20.9043,656.875
160,0.2375,1369.02,20.9455,635.25
140,0.2275,1531.03,20.9794,610.125
120,0.2275,1689.53,21.0064,583.225
100,0.2175,1814.62,21.0245,550.6
90,0.2175,1949.89,21.0414,533.25
80,0.215,2129.36,21.0605,513.95
70,0.2075,2339.46,21.0793,492.025
60,0.2,2607.02,21.0988,465.25
55,0.1925,2782.25,21.1095,451.05
50,0.1925,2988.46,21.1206,434.725
45,0.1875,3203.04,21.1306,415.925
40,0.165,3503.21,21.1425,396.2
35,0.1575,3814.65,21.153,372.175
30,0.1475,4286.35,21.1659,346.075
25,0.1375,4978.25,21.1804,317.425
20,0.1325,5928.76,21.1949,284.4
15,0.1125,7333.98,21.2094,246.6
10,0.0825,9905.66,21.2253,199.975
