L,Cmps,QPS,Recall
1700,1145,1259.45,95.21
1400,1099,1424.5,95.21
1100,1038,1567.4,95.21
1000,1013,1626.02,95.21
900,985,1689.19,95.21
800,953,1760.56,95.21
700,916,1848.43,95.21
600,874,1960.78,95.21
500,826,2141.33,95.21
400,767,2392.34,95.21
300,695,2762.43,95.21
250,651,3021.15,95.21
200,598,3367,95.21
180,574,3558.72,95.21
160,548,3773.58,95.21
140,520,4016.06,95.21
120,489,4347.83,95.21
100,453,4739.34,95.21
90,433,4975.12,95.22
80,412,5291.01,95.24
70,388,5681.82,95.25
60,362,6172.84,95.32
55,348,6451.61,95.34
50,333,6849.31,95.37
45,317,7246.38,95.43
40,300,7751.94,95.4
35,282,8333.33,95.4
30,263,8849.56,95.32
25,241,10000,95.32
20,218,11236,95.36
15,191,12987,95.22
10,160,15873,94.68
