L,Cmps,QPS,Recall
1700,6562,187.547,92.07
1400,5874,203.046,90.92
1100,5098,221.729,89.56
1000,4799,207.469,88.77
900,4497,206.228,87.96
800,4180,231.054,87.04
700,3841,225.887,85.88
600,3475,255.624,84.12
500,3082,266.596,82.14
400,2649,272.257,79.45
300,2172,296.824,76.06
250,1904,312.305,73.62
200,1624,330.907,70.68
180,1504,339.789,69.59
160,1385,347.947,68.23
140,1257,379.219,66.45
120,1126,370.782,64.73
100,989,384.32,61.77
90,917,413.052,60.01
80,840,419.992,58.2
70,760,469.263,56.27
60,680,436.3,54.13
55,639,414.422,52.91
50,597,426.803,51.72
45,552,427.533,50.27
40,504,436.681,48.67
35,458,438.212,47.03
30,413,450.45,45.33
25,364,453.104,43.29
20,313,459.77,40.96
15,260,504.032,37.86
10,204,546.15,33.89
