probes,recall,qps
1,0.3572,930.5
2,0.5183,651.8
3,0.6147,512.6
5,0.7301,342.3
10,0.8578,191.7
20,0.9417,123.8
30,0.9709,79.6
50,0.9899,51.5
100,0.9983,25.8
200,0.9994,12.7
500,0.9995,5.5
1000,0.9997,2.7
