ef_search,recall,qps
2000,0.9990,55.4
1900,0.9990,56.7
1800,0.9990,52.8
1700,0.9990,55.4
1600,0.9990,56.6
1500,0.9990,55.5
1400,0.9990,56.3
1300,0.9990,56.4
1200,0.9990,56.1
1100,0.9990,57.3
1000,0.9990,56.3
900,0.9990,60.6
800,0.9990,68.9
700,0.9990,71.8
600,0.9991,81.4
500,0.9989,93.9
400,0.9989,114.3
300,0.9987,136.5
250,0.9985,150.7
200,0.9977,172.0
180,0.9970,180.6
160,0.9959,199.2
140,0.9944,219.8
120,0.9912,237.0
100,0.9869,259.8
90,0.9840,286.0
80,0.9794,313.3
70,0.9735,324.6
60,0.9654,367.0
55,0.9602,378.2
50,0.9541,394.5
45,0.9461,402.8
40,0.9364,465.8
35,0.9241,506.3
30,0.9073,491.0
25,0.8833,566.8
20,0.8502,651.8
15,0.7956,674.1
10,0.6538,775.1
