L,Cmps,QPS,Recall
1700,102336.00,12.77,25.15
1400,99108.00,13.12,23.70
1100,95370.00,13.38,23.40
1000,94495.00,13.42,23.45
900,93620.00,13.49,22.80
800,90694.00,13.58,22.20
700,89255.00,13.71,21.25
600,88305.00,13.68,21.50
500,87284.00,13.81,20.05
400,86085.00,13.83,19.15
300,84931.00,13.83,18.40
250,84299.00,14.03,18.35
200,83057.00,13.80,17.90
180,83376.00,13.71,17.65
160,81872.00,14.04,16.80
140,81531.00,14.22,16.60
120,81238.00,14.30,16.25
100,79719.00,14.24,16.15
90,80198.00,14.19,15.45
80,80012.00,14.26,15.40
70,79249.00,14.31,14.90
60,79104.00,14.17,15.40
55,79551.00,14.16,15.00
50,78810.00,14.42,14.95
45,77993.00,14.47,13.95
40,77928.00,14.61,14.05
35,77695.00,14.77,14.50
30,76804.00,14.77,13.60
25,76540.00,14.73,12.50
20,75433.00,15.14,13.55
15,74405.00,15.05,12.30
10,72349.00,15.52,12.15
