probes,recall,qps
1,0.4402,19.4
2,0.4992,19.3
3,0.5389,18.9
5,0.5971,18.4
10,0.6817,17.6
20,0.7681,16.3
30,0.8176,16.4
50,0.8687,15.0
100,0.9303,11.9
200,0.9688,10.6
500,0.9928,6.8
1000,0.9978,2.6
