ef_search,recall,qps
2000,0.6644,11.8
1900,0.6644,12.8
1800,0.6644,11.8
1700,0.6644,11.6
1600,0.6644,12.8
1500,0.6644,13.2
1400,0.6644,12.9
1300,0.6644,13.4
1200,0.6644,12.8
1100,0.6644,12.9
1000,0.6644,11.9
900,0.6472,12.7
800,0.6280,12.9
700,0.6050,14.6
600,0.5803,12.9
500,0.5543,13.9
400,0.5256,14.4
300,0.4940,14.2
250,0.4769,15.2
200,0.4591,14.6
180,0.4515,14.7
160,0.4438,14.3
140,0.4359,14.5
120,0.4264,14.5
100,0.4186,15.2
90,0.4118,14.9
80,0.4068,15.4
70,0.4020,15.5
60,0.3952,15.2
55,0.3909,14.9
50,0.3861,15.5
45,0.3815,14.5
40,0.3745,15.3
35,0.3678,15.1
30,0.3593,15.2
25,0.3494,15.5
20,0.3377,15.9
15,0.3203,15.4
10,0.2996,14.9
