L,Cmps,QPS,Recall
1700,7047,645.161,98.4
1400,6467,769.231,98.2
1100,5769,930.233,97.85
1000,5513,1000,97.55
900,5228,1075.27,97.45
800,4916,1176.47,97.35
700,4575,1315.79,97.2
600,4190,1470.59,97
500,3749,1680.67,96.2
400,3264,1980.2,96
300,2730,2409.64,95.7
250,2429,2739.73,95.5
200,2116,3174.6,95.35
180,1981,3448.28,94.45
160,1848,3703.7,94.2
140,1712,4081.63,94.05
120,1563,4545.45,92.5
100,1413,5128.21,91.55
90,1335,5405.41,90.95
80,1256,5882.35,90.7
70,1171,6250,90.35
60,1074,6896.55,88.75
55,1028,7407.41,88.1
50,976,8000,86.5
45,920,7142.86,84.8
40,861,9090.91,82.1
35,810,10000,80.8
30,737,11111.1,75.95
25,658,13333.3,70.85
20,589,15384.6,67.7
15,499,18181.8,60.35
10,398,25000,49.45
