efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.9954,117.297,32.494,16173.5
1400,0.99465,144.275,34.2692,14003.4
1100,0.9923,191.503,36.4016,11690.5
1000,0.9917,213.077,37.1159,10881.4
900,0.99085,237.493,37.7927,10047.3
800,0.98965,270.413,38.5393,9189.74
700,0.98775,300.888,39.1038,8301.71
600,0.98515,345.736,39.7743,7379.79
500,0.9824,430.094,40.6925,6415.08
400,0.97745,530.553,41.4348,5400.35
300,0.9698,691.574,42.2021,4321.66
250,0.96435,813.454,42.5916,3748.22
200,0.95625,998.442,43.0088,3147.44
180,0.95065,1099.2,43.1793,2898.15
160,0.94395,1223.6,43.3524,2642.41
140,0.9366,1374.07,43.5213,2379.7
120,0.9279,1570.43,43.6943,2108.59
100,0.91405,1856.19,43.8823,1826.5
90,0.90555,2028.27,43.9705,1681.81
80,0.8952,2247.15,44.0635,1533.72
70,0.8815,2512.77,44.155,1382.46
60,0.86275,2874.4,44.2529,1225.35
55,0.85095,3092.29,44.3009,1145.28
50,0.83785,3385.23,44.3559,1064.11
45,0.82,3655.54,44.3989,981.039
40,0.8016,4074.61,44.4545,896.129
35,0.7795,4608.58,44.5107,809.473
30,0.7497,5186.55,44.5587,720.841
25,0.70655,6107.6,44.6165,629.323
20,0.6474,7492.2,44.6768,534.72
15,0.56165,9373.13,44.7303,436.42
10,0.4168,13012.4,44.7901,332.591
