nprobe,recall,qps
1,0.0595,8.9
2,0.0973,8.9
3,0.1290,8.8
5,0.1743,8.9
10,0.2624,8.9
20,0.3730,8.9
30,0.4520,8.8
50,0.5571,8.8
100,0.7156,8.8
200,0.8506,8.8
500,0.9554,8.6
1000,0.9995,8.4
