ef,recall,qps
2000,0.9839,32.3
1900,0.9960,34.0
1800,0.9960,27.2
1700,0.9960,27.4
1600,0.9960,15.5
1500,0.9960,14.1
1400,0.9960,14.2
1300,0.9960,14.0
1200,0.9960,14.1
1100,0.9960,14.2
1000,0.9993,14.2
900,1.0000,14.3
800,1.0000,14.7
700,1.0000,11.4
600,1.0000,7.8
500,1.0000,7.8
400,1.0000,7.8
300,1.0000,7.8
250,1.0000,7.8
200,1.0000,7.8
180,1.0000,7.8
160,1.0000,7.9
140,1.0000,7.8
120,1.0000,7.8
100,1.0000,7.8
90,1.0000,7.8
80,1.0000,7.8
70,1.0000,7.8
60,1.0000,7.8
55,1.0000,7.7
50,1.0000,7.7
45,1.0000,7.7
40,1.0000,7.6
35,1.0000,7.7
30,1.0000,7.7
25,1.0000,7.6
20,1.0000,7.7
15,1.0000,7.8
10,1.0000,7.7
