nprobe,recall,qps
1,0.4343,37.3
2,0.5078,36.6
3,0.5553,37.3
5,0.6125,34.9
10,0.6905,15.7
20,0.7679,8.9
30,0.8104,8.8
50,0.8576,8.7
100,0.9028,8.7
200,0.9418,8.8
500,0.9808,8.6
1000,0.9997,8.5
