ef,recall,qps
2000,0.9957,33.7
1900,0.9965,28.3
1800,0.9965,26.1
1700,0.9966,16.7
1600,0.9966,14.0
1500,0.9966,14.1
1400,0.9966,14.0
1300,0.9966,14.0
1200,0.9966,14.0
1100,0.9988,14.1
1000,1.0000,14.2
900,1.0000,14.6
800,0.9999,11.8
700,0.9999,7.7
600,0.9999,7.7
500,0.9999,7.7
400,0.9999,7.7
300,0.9999,7.7
250,0.9999,7.7
200,0.9999,7.7
180,0.9999,7.8
160,0.9999,7.7
140,0.9999,7.7
120,0.9999,7.7
100,0.9999,7.7
90,0.9999,7.7
80,0.9999,7.7
70,0.9999,7.7
60,0.9999,7.7
55,0.9999,7.6
50,0.9999,7.6
45,0.9999,7.6
40,0.9999,7.6
35,0.9999,7.6
30,0.9998,7.6
25,0.9998,7.6
20,0.9996,7.7
15,0.9995,7.7
10,0.9995,7.7
