nprobe,recall,qps
1,0.0728,31.5
2,0.1029,31.5
3,0.1238,31.6
5,0.1583,30.4
10,0.2118,27.8
20,0.2883,24.8
30,0.3402,16.5
50,0.4135,15.8
100,0.5221,16.1
200,0.6468,15.7
500,0.8332,14.3
1000,0.9973,14.1
