probes,recall,qps
1,0.3643,1.9
2,0.3956,1.8
3,0.4149,1.9
5,0.4472,1.8
10,0.4967,1.7
20,0.5605,1.7
30,0.6048,1.6
50,0.6537,1.4
100,0.7300,1.1
200,0.8196,0.8
500,1.0000,0.6
1000,1.0000,0.6
