ef_search,recall,qps
2000,0.5605,1.8
1900,0.5605,1.8
1800,0.5605,1.7
1700,0.5605,1.8
1600,0.5605,1.8
1500,0.5605,1.7
1400,0.5605,1.7
1300,0.5605,1.7
1200,0.5605,1.7
1100,0.5605,1.7
1000,0.5605,1.7
900,0.5562,1.8
800,0.5530,1.8
700,0.5506,1.8
600,0.5493,1.8
500,0.5500,1.8
400,0.5460,1.8
300,0.5404,1.8
250,0.5398,1.8
200,0.5370,1.8
180,0.5365,1.8
160,0.5347,1.8
140,0.5342,1.8
120,0.5334,1.8
100,0.5325,1.8
90,0.5327,1.8
80,0.5312,1.8
70,0.5305,1.8
60,0.5302,1.8
55,0.5302,1.8
50,0.5300,1.8
45,0.5298,1.8
40,0.5292,1.8
35,0.5293,1.8
30,0.5290,1.8
25,0.5288,1.8
20,0.5288,1.8
15,0.5286,1.8
10,0.5285,1.8
