nprobe,recall,qps
1,0.2610,58.9
2,0.3750,55.1
3,0.4480,54.5
5,0.5617,54.6
10,0.7044,52.1
20,0.8348,50.8
30,0.8947,46.4
50,0.9502,42.1
100,0.9890,34.0
200,0.9988,25.5
500,1.0000,15.9
1000,1.0000,9.8
