ef,recall,qps
2000,0.9985,26.0
1900,0.9984,26.5
1800,0.9983,27.3
1700,0.9983,28.0
1600,0.9982,28.8
1500,0.9979,29.5
1400,0.9975,30.4
1300,0.9974,31.3
1200,0.9972,32.3
1100,0.9971,33.2
1000,0.9965,35.1
900,0.9964,37.4
800,0.9959,36.3
700,0.9954,37.7
600,0.9945,39.8
500,0.9935,41.2
400,0.9927,43.5
300,0.9898,45.6
250,0.9876,46.9
200,0.9822,48.6
180,0.9795,49.0
160,0.9761,49.7
140,0.9722,51.2
120,0.9647,51.1
100,0.9553,51.9
90,0.9493,52.8
80,0.9429,52.3
70,0.9324,53.5
60,0.9199,54.3
55,0.9112,55.3
50,0.8995,54.4
45,0.8856,55.0
40,0.8717,54.9
35,0.8549,54.8
30,0.8324,55.2
25,0.8054,55.3
20,0.7679,56.0
15,0.7123,56.1
10,0.6333,56.9
