ef,recall,qps,distance_computations_per_query
1700,0.99,30.656,42007.8
1400,0.9885,35.5745,36537.5
1100,0.9865,42.6985,30653.7
1000,0.986,45.3412,28578.1
900,0.986,49.8132,26432.8
800,0.9855,54.6747,24212.8
700,0.983,60.6612,21900.4
600,0.98,68.2594,19499.2
500,0.977,78.9266,16971.6
400,0.9685,94.0291,14294.4
300,0.953,118.624,11423.4
250,0.947,136.519,9902.02
200,0.936,161.943,8289.73
180,0.9285,174.216,7624.06
160,0.918,193.424,6951.36
140,0.9025,215.75,6246.57
120,0.884,244.798,5521.77
100,0.864,283.688,4772.28
90,0.8525,308.642,4391.98
80,0.8395,339.559,4006.35
70,0.82,375.94,3616.14
60,0.7995,425.532,3215.52
55,0.7865,456.621,3003.03
50,0.771,491.4,2792.05
45,0.7575,527.704,2581.41
40,0.741,579.71,2374.36
35,0.7195,643.087,2153.34
30,0.6915,716.846,1936.17
25,0.656,813.008,1713.26
20,0.6145,943.396,1486.18
15,0.5575,1136.36,1241.59
10,0.4815,1470.59,979.425
