ef,recall,qps,distance_computations_per_query
1700,0.994,33.0688,39398.2
1400,0.9925,37.5305,34173.9
1100,0.99,45.2489,28574.4
1000,0.9895,48.9356,26614.8
900,0.988,53.1208,24583.9
800,0.987,58.0552,22476.2
700,0.986,65.6814,20298
600,0.9835,74.4048,18029
500,0.9805,86.0215,15646.5
400,0.9725,103.306,13126.5
300,0.9645,129.366,10454
250,0.9565,150.716,9022.84
200,0.945,182.149,7542.2
180,0.9395,198.61,6937.04
160,0.9295,219.058,6296.76
140,0.9205,245.098,5647.52
120,0.9035,279.33,4983.38
100,0.8855,326.264,4286.3
90,0.8755,357.143,3922.01
80,0.861,394.477,3564.96
70,0.8415,440.529,3209.57
60,0.8185,498.753,2848
55,0.8015,534.759,2657.96
50,0.789,578.035,2469.91
45,0.771,611.621,2270.08
40,0.758,689.655,2077.22
35,0.734,769.231,1877.9
30,0.707,869.565,1671.39
25,0.676,1000,1460.31
20,0.629,1183.43,1242.62
15,0.5845,1449.28,1031.73
10,0.4905,1904.76,795.385
