ef,recall,qps,distance_computations_per_query
1700,0.9945,12.387,103958
1400,0.994,14.3493,90397.9
1100,0.992,17.2176,75817.1
1000,0.9915,18.5374,70688.9
900,0.991,20.0702,65362.8
800,0.9905,21.9853,59861.4
700,0.989,24.4021,54161.8
600,0.9845,27.7971,48226.4
500,0.9795,31.3775,41955
400,0.974,37.8215,35298.7
300,0.9645,47.8469,28185
250,0.9515,55.6483,24411.6
200,0.94,67.2269,20440.6
180,0.936,73.3676,18814.8
160,0.9295,81.2348,17113.8
140,0.9225,91.4495,15366
120,0.9105,104.493,13558.6
100,0.8925,122.624,11720.6
90,0.8835,133.869,10761
80,0.8725,148.81,9776.42
70,0.8595,166.113,8774.51
60,0.84,189.394,7772.8
55,0.8315,203.459,7245.84
50,0.8205,219.78,6730.47
45,0.8025,240.096,6192.36
40,0.7835,264.901,5645.65
35,0.758,294.985,5104.72
30,0.7385,333.89,4537.7
25,0.7095,383.877,3954.97
20,0.659,458.716,3370.29
15,0.6,571.429,2753.39
10,0.533,763.359,2117.89
