ef,recall,qps,distance_computations_per_query
1700,0.995,33.3,38982.1
1400,0.9945,38.432,34019.5
1100,0.994,45.977,28657.7
1000,0.994,49.3097,26763.4
900,0.9935,53.2907,24807
800,0.992,58.2751,22781.7
700,0.9905,64.4745,20650.9
600,0.99,72.7273,18419
500,0.988,83.5073,16079.4
400,0.9855,99.0589,13597.6
300,0.9825,123.686,10905.5
250,0.9775,143.678,9461.82
200,0.9735,171.233,7961.99
180,0.9685,185.701,7336.69
160,0.9655,204.708,6682.66
140,0.96,228.05,6010.18
120,0.9545,257.732,5318.19
100,0.944,298.063,4618.97
90,0.939,323.625,4246.12
80,0.931,357.782,3860.82
70,0.921,396.825,3480.09
60,0.9095,448.43,3083.89
55,0.898,476.19,2880.24
50,0.887,520.833,2665.28
45,0.8755,564.972,2457.62
40,0.861,617.284,2252.2
35,0.8385,684.932,2037.54
30,0.803,766.284,1821.36
25,0.778,877.193,1598.03
20,0.734,1036.27,1361.89
15,0.6705,1282.05,1110.63
10,0.584,1680.67,861.095
