L,Cmps,QPS,Recall
1700,59377,88.4001,94.411
1400,51632,105.652,92.666
1100,43156,131.375,90.106
1000,40125,143.515,88.962
900,36979,156.91,87.577
800,33701,173.747,85.782
700,30308,197.091,83.722
600,26761,227.993,81.107
500,23036,271.186,77.771
400,19097,328.375,73.226
300,14932,423.478,66.848
250,12768,495.761,62.73
200,10521,601.54,57.653
180,9592,656.987,55.27
160,8647,722.543,52.653
140,7693,811.03,49.752
120,6711,927.3,46.379
100,5721,1075.96,42.665
90,5216,1165.64,40.648
80,4704,1277.47,38.411
70,4190,1413.23,36.071
60,3666,1583.53,33.485
55,3403,1686.91,32.05
50,3134,1802.13,30.587
45,2865,1939.11,29.039
40,2592,2102.61,27.47
35,2321,2281.02,25.687
30,2044,2510.67,23.735
25,1764,2775.46,21.699
20,1480,3120.12,19.497
15,1190,3575.26,16.876
10,897,4215.85,13.896
