L,Cmps,QPS,Recall
1700,9584,403.6,98.519
1400,8557,567.086,97.882
1100,7393,669.12,96.898
1000,6961,729.927,96.411
900,6518,791.327,95.981
800,6052,865.651,95.406
700,5549,960.338,94.573
600,5006,1079.33,93.508
500,4418,1238.7,92.077
400,3776,1465.2,89.968
300,3069,1805.71,86.74
250,2680,2051.7,84.354
200,2267,2395.21,81.069
180,2093,2568.05,79.458
160,1908,2782.42,77.556
140,1722,3027.55,75.286
120,1526,3333.33,72.543
100,1319,3728.56,69.17
90,1213,3960.4,67.261
80,1104,4240.88,64.979
70,993,4551.66,62.517
60,878,4916.42,59.5
55,819,5125.58,57.678
50,757,5379.24,55.717
45,697,5630.63,53.82
40,635,5913.66,51.559
35,570,6246.1,49.022
30,506,6613.76,46.26
25,440,7022.47,43.293
20,371,7524.45,39.535
15,300,8103.73,35.338
10,227,8826.12,29.932
