L,Cmps,QPS,Recall
1700,1472,1613.42,99.998
1400,1374,1787.95,99.998
1100,1283,2041.23,99.998
1000,1249,2170.14,99.998
900,1210,2325.04,99.998
800,1161,2519.53,99.998
700,1090,2770.85,99.998
600,980,3113.32,99.998
500,897,3513.7,99.998
400,820,4046.94,99.998
300,730,4911.59,99.997
250,673,5605.38,99.996
200,598,6583.28,99.992
180,566,7092.2,99.992
160,534,7686.4,99.99
140,501,8410.43,99.986
120,465,9337.07,99.983
100,425,10582,99.97
90,404,11402.5,99.962
80,380,12330.5,99.953
70,355,13568.5,99.944
60,327,15083,99.895
55,312,15949,99.876
50,297,17094,99.833
45,281,18248.2,99.76
40,264,19723.9,99.653
35,246,21413.3,99.517
30,227,23923.4,99.323
25,206,26954.2,98.94
20,183,31055.9,98.258
15,158,37037,96.979
10,131,46948.4,93.925
